parse_id,AP_axis,DV_axis,Basal_media,CycA,M_XAV,M_CHIR,M_RA,M_FGF8,M_BMP4,M_SHH,M_PM
p1_A1,XAV_3,BMP4_3,mTeSR,0,5.0,0.0,0,0,50,0,0
p1_A2,XAV_2,BMP4_3,mTeSR,0,1.0,0.0,0,0,50,0,0
p1_A3,XAV_1,BMP4_3,mTeSR,0,0.2,0.0,0,0,50,0,0
p1_A4,ctrl,BMP4_3,mTeSR,0,0.0,0.0,0,0,50,0,0
p1_A5,CHIR_1,BMP4_3,mTeSR,0,0.0,0.2,0,0,50,0,0
p1_A6,CHIR_2,BMP4_3,mTeSR,0,0.0,0.7,0,0,50,0,0
p1_A7,CHIR_3,BMP4_3,mTeSR,0,0.0,1.5,0,0,50,0,0
p1_A8,CHIR_4,BMP4_3,mTeSR,0,0.0,3.0,0,0,50,0,0
p1_A9,RA_4,BMP4_3,mTeSR,0,0.0,0.0,1000,0,50,0,0
p1_A10,RA_3,BMP4_3,mTeSR,0,0.0,0.0,100,0,50,0,0
p1_A11,RA_2,BMP4_3,mTeSR,0,0.0,0.0,10,0,50,0,0
p1_A12,RA_1,BMP4_3,mTeSR,0,0.0,0.0,1,0,50,0,0
p1_B1,XAV_3,BMP4_2,mTeSR,0,5.0,0.0,0,0,15,0,0
p1_B2,XAV_2,BMP4_2,mTeSR,0,1.0,0.0,0,0,15,0,0
p1_B3,XAV_1,BMP4_2,mTeSR,0,0.2,0.0,0,0,15,0,0
p1_B4,ctrl,BMP4_2,mTeSR,0,0.0,0.0,0,0,15,0,0
p1_B5,CHIR_1,BMP4_2,mTeSR,0,0.0,0.2,0,0,15,0,0
p1_B6,CHIR_2,BMP4_2,mTeSR,0,0.0,0.7,0,0,15,0,0
p1_B7,CHIR_3,BMP4_2,mTeSR,0,0.0,1.5,0,0,15,0,0
p1_B8,CHIR_4,BMP4_2,mTeSR,0,0.0,3.0,0,0,15,0,0
p1_B9,RA_4,BMP4_2,mTeSR,0,0.0,0.0,1000,0,15,0,0
p1_B10,RA_3,BMP4_2,mTeSR,0,0.0,0.0,100,0,15,0,0
p1_B11,RA_2,BMP4_2,mTeSR,0,0.0,0.0,10,0,15,0,0
p1_B12,RA_1,BMP4_2,mTeSR,0,0.0,0.0,1,0,15,0,0
p1_C1,XAV_3,BMP4_1,mTeSR,0,5.0,0.0,0,0,5,0,0
p1_C2,XAV_2,BMP4_1,mTeSR,0,1.0,0.0,0,0,5,0,0
p1_C3,XAV_1,BMP4_1,mTeSR,0,0.2,0.0,0,0,5,0,0
p1_C4,ctrl,BMP4_1,mTeSR,0,0.0,0.0,0,0,5,0,0
p1_C5,CHIR_1,BMP4_1,mTeSR,0,0.0,0.2,0,0,5,0,0
p1_C6,CHIR_2,BMP4_1,mTeSR,0,0.0,0.7,0,0,5,0,0
p1_C7,CHIR_3,BMP4_1,mTeSR,0,0.0,1.5,0,0,5,0,0
p1_C8,CHIR_4,BMP4_1,mTeSR,0,0.0,3.0,0,0,5,0,0
p1_C9,RA_4,BMP4_1,mTeSR,0,0.0,0.0,1000,0,5,0,0
p1_C10,RA_3,BMP4_1,mTeSR,0,0.0,0.0,100,0,5,0,0
p1_C11,RA_2,BMP4_1,mTeSR,0,0.0,0.0,10,0,5,0,0
p1_C12,RA_1,BMP4_1,mTeSR,0,0.0,0.0,1,0,5,0,0
p1_D1,XAV_3,ctrl,mTeSR,0,5.0,0.0,0,0,0,0,0
p1_D2,XAV_2,ctrl,mTeSR,0,1.0,0.0,0,0,0,0,0
p1_D3,XAV_1,ctrl,mTeSR,0,0.2,0.0,0,0,0,0,0
p1_D4,ctrl,ctrl,mTeSR,0,0.0,0.0,0,0,0,0,0
p1_D5,CHIR_1,ctrl,mTeSR,0,0.0,0.2,0,0,0,0,0
p1_D6,CHIR_2,ctrl,mTeSR,0,0.0,0.7,0,0,0,0,0
p1_D7,CHIR_3,ctrl,mTeSR,0,0.0,1.5,0,0,0,0,0
p1_D8,CHIR_4,ctrl,mTeSR,0,0.0,3.0,0,0,0,0,0
p1_D9,RA_4,ctrl,mTeSR,0,0.0,0.0,1000,0,0,0,0
p1_D10,RA_3,ctrl,mTeSR,0,0.0,0.0,100,0,0,0,0
p1_D11,RA_2,ctrl,mTeSR,0,0.0,0.0,10,0,0,0,0
p1_D12,RA_1,ctrl,mTeSR,0,0.0,0.0,1,0,0,0,0
p1_E1,XAV_3,SHH_1,mTeSR,0,5.0,0.0,0,0,0,15,0
p1_E2,XAV_2,SHH_1,mTeSR,0,1.0,0.0,0,0,0,15,0
p1_E3,XAV_1,SHH_1,mTeSR,0,0.2,0.0,0,0,0,15,0
p1_E4,ctrl,SHH_1,mTeSR,0,0.0,0.0,0,0,0,15,0
p1_E5,CHIR_1,SHH_1,mTeSR,0,0.0,0.2,0,0,0,15,0
p1_E6,CHIR_2,SHH_1,mTeSR,0,0.0,0.7,0,0,0,15,0
p1_E7,CHIR_3,SHH_1,mTeSR,0,0.0,1.5,0,0,0,15,0
p1_E8,CHIR_4,SHH_1,mTeSR,0,0.0,3.0,0,0,0,15,0
p1_E9,RA_4,SHH_1,mTeSR,0,0.0,0.0,1000,0,0,15,0
p1_E10,RA_3,SHH_1,mTeSR,0,0.0,0.0,100,0,0,15,0
p1_E11,RA_2,SHH_1,mTeSR,0,0.0,0.0,10,0,0,15,0
p1_E12,RA_1,SHH_1,mTeSR,0,0.0,0.0,1,0,0,15,0
p1_F1,XAV_3,SHH_2,mTeSR,0,5.0,0.0,0,0,0,50,0
p1_F2,XAV_2,SHH_2,mTeSR,0,1.0,0.0,0,0,0,50,0
p1_F3,XAV_1,SHH_2,mTeSR,0,0.2,0.0,0,0,0,50,0
p1_F4,ctrl,SHH_2,mTeSR,0,0.0,0.0,0,0,0,50,0
p1_F5,CHIR_1,SHH_2,mTeSR,0,0.0,0.2,0,0,0,50,0
p1_F6,CHIR_2,SHH_2,mTeSR,0,0.0,0.7,0,0,0,50,0
p1_F7,CHIR_3,SHH_2,mTeSR,0,0.0,1.5,0,0,0,50,0
p1_F8,CHIR_4,SHH_2,mTeSR,0,0.0,3.0,0,0,0,50,0
p1_F9,RA_4,SHH_2,mTeSR,0,0.0,0.0,1000,0,0,50,0
p1_F10,RA_3,SHH_2,mTeSR,0,0.0,0.0,100,0,0,50,0
p1_F11,RA_2,SHH_2,mTeSR,0,0.0,0.0,10,0,0,50,0
p1_F12,RA_1,SHH_2,mTeSR,0,0.0,0.0,1,0,0,50,0
p1_G1,XAV_3,SHH_3,mTeSR,0,5.0,0.0,0,0,0,150,0
p1_G2,XAV_2,SHH_3,mTeSR,0,1.0,0.0,0,0,0,150,0
p1_G3,XAV_1,SHH_3,mTeSR,0,0.2,0.0,0,0,0,150,0
p1_G4,ctrl,SHH_3,mTeSR,0,0.0,0.0,0,0,0,150,0
p1_G5,CHIR_1,SHH_3,mTeSR,0,0.0,0.2,0,0,0,150,0
p1_G6,CHIR_2,SHH_3,mTeSR,0,0.0,0.7,0,0,0,150,0
p1_G7,CHIR_3,SHH_3,mTeSR,0,0.0,1.5,0,0,0,150,0
p1_G8,CHIR_4,SHH_3,mTeSR,0,0.0,3.0,0,0,0,150,0
p1_G9,RA_4,SHH_3,mTeSR,0,0.0,0.0,1000,0,0,150,0
p1_G10,RA_3,SHH_3,mTeSR,0,0.0,0.0,100,0,0,150,0
p1_G11,RA_2,SHH_3,mTeSR,0,0.0,0.0,10,0,0,150,0
p1_G12,RA_1,SHH_3,mTeSR,0,0.0,0.0,1,0,0,150,0
p1_H1,XAV_3,SHH_4,mTeSR,0,5.0,0.0,0,0,0,500,0
p1_H2,XAV_2,SHH_4,mTeSR,0,1.0,0.0,0,0,0,500,0
p1_H3,XAV_1,SHH_4,mTeSR,0,0.2,0.0,0,0,0,500,0
p1_H4,ctrl,SHH_4,mTeSR,0,0.0,0.0,0,0,0,500,0
p1_H5,CHIR_1,SHH_4,mTeSR,0,0.0,0.2,0,0,0,500,0
p1_H6,CHIR_2,SHH_4,mTeSR,0,0.0,0.7,0,0,0,500,0
p1_H7,CHIR_3,SHH_4,mTeSR,0,0.0,1.5,0,0,0,500,0
p1_H8,CHIR_4,SHH_4,mTeSR,0,0.0,3.0,0,0,0,500,0
p1_H9,RA_4,SHH_4,mTeSR,0,0.0,0.0,1000,0,0,500,0
p1_H10,RA_3,SHH_4,mTeSR,0,0.0,0.0,100,0,0,500,0
p1_H11,RA_2,SHH_4,mTeSR,0,0.0,0.0,10,0,0,500,0
p1_H12,RA_1,SHH_4,mTeSR,0,0.0,0.0,1,0,0,500,0
p2_A1,FGF8_1,BMP4_3,mTeSR,0,0.0,0.0,0,10,50,0,0
p2_A2,FGF8_2,BMP4_3,mTeSR,0,0.0,0.0,0,50,50,0,0
p2_A3,FGF8_3,BMP4_3,mTeSR,0,0.0,0.0,0,100,50,0,0
p2_A4,FGF8_4,BMP4_3,mTeSR,0,0.0,0.0,0,250,50,0,0
p2_A5,RA_4_CHIR,BMP4_3,mTeSR,0,0.0,3.0,1000,0,50,0,0
p2_A6,RA_3_CHIR,BMP4_3,mTeSR,0,0.0,3.0,100,0,50,0,0
p2_A7,RA_2_CHIR,BMP4_3,mTeSR,0,0.0,3.0,10,0,50,0,0
p2_A8,RA_1_CHIR,BMP4_3,mTeSR,0,0.0,3.0,1,0,50,0,0
p2_A9,FGF8_1_CHIR,BMP4_3,mTeSR,0,0.0,3.0,0,10,50,0,0
p2_A10,FGF8_2_CHIR,BMP4_3,mTeSR,0,0.0,3.0,0,50,50,0,0
p2_A11,FGF8_3_CHIR,BMP4_3,mTeSR,0,0.0,3.0,0,100,50,0,0
p2_A12,FGF8_4_CHIR,BMP4_3,mTeSR,0,0.0,3.0,0,250,50,0,0
p2_B1,FGF8_1,BMP4_2,mTeSR,0,0.0,0.0,0,10,15,0,0
p2_B2,FGF8_2,BMP4_2,mTeSR,0,0.0,0.0,0,50,15,0,0
p2_B3,FGF8_3,BMP4_2,mTeSR,0,0.0,0.0,0,100,15,0,0
p2_B4,FGF8_4,BMP4_2,mTeSR,0,0.0,0.0,0,250,15,0,0
p2_B5,RA_4_CHIR,BMP4_2,mTeSR,0,0.0,3.0,1000,0,15,0,0
p2_B6,RA_3_CHIR,BMP4_2,mTeSR,0,0.0,3.0,100,0,15,0,0
p2_B7,RA_2_CHIR,BMP4_2,mTeSR,0,0.0,3.0,10,0,15,0,0
p2_B8,RA_1_CHIR,BMP4_2,mTeSR,0,0.0,3.0,1,0,15,0,0
